gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
899948844	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/570700	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.493708	84.423903	29727.0						2014-02-14T02:21:05	14	2	2014	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	570700		walzworth	2014-03-16T04:15:07	CC_BY_NC_4_0	walzworth	walzworth			2024-03-26T22:10:17.493Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535890318	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12718859	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.439864	84.56753	29727.0						2012-12-04T16:08	4	12	2012	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	12718859		Philipp Pavelka	2018-05-22T20:29:11	CC_BY_4_0	Philipp Pavelka	Philipp Pavelka			2024-03-26T21:49:18.288Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528327060	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200500926	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.569562	84.562294	29727.0						2023-09-22T10:09	22	9	2023	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	200500926		Wilbur Goh	2024-02-26T10:03:54	CC_BY_NC_4_0	Wilbur Goh	Wilbur Goh			2024-03-26T22:42:51.450Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528298334	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200270840	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.68255	84.550696	29704.0						2024-02-11T14:18	11	2	2024	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	200270840		pahk	2024-02-24T12:46:40	CC_BY_NC_4_0	pahk	pahk			2024-03-26T23:04:35.591Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528285809	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200075997	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.503739	84.57749	29727.0						2023-05-09T16:12	9	5	2023	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	200075997		asanoth	2024-02-22T09:55:23	CC_BY_NC_4_0	asanoth	asanoth			2024-03-26T22:44:34.666Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528236737	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200077115	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		IN		Assam	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.501281	92.889326	29845.0						2023-12-25T12:49	25	12	2023	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	200077115		sharadavakil	2024-02-22T10:18:39	CC_BY_NC_4_0	sharadavakil	sharadavakil			2024-03-26T22:24:39.208Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528081047	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200500927	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.495041	84.401522	29727.0						2023-09-22T10:09	22	9	2023	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	200500927		Wilbur Goh	2024-02-26T10:03:55	CC_BY_NC_4_0	Wilbur Goh	Wilbur Goh			2024-03-26T22:44:52.865Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528078328	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200249572	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		IN		Assam	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.48391	93.071954	29845.0						2024-02-06T11:19	6	2	2024	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	200249572		jtolchin	2024-02-24T05:28:40	CC_BY_NC_4_0	jtolchin	jtolchin			2024-03-26T22:56:55.302Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528056060	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200500928	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.500519	84.533383	29727.0						2023-09-21T09:27	21	9	2023	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	200500928		Wilbur Goh	2024-02-26T10:03:55	CC_BY_NC_4_0	Wilbur Goh	Wilbur Goh			2024-03-26T22:50:56.724Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525276477	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199495710	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		IN		Assam	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.649562	93.59811	29822.0						2024-01-18T16:43	18	1	2024	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	199495710		Ingmar van der Brugge	2024-02-16T21:26:31	CC_BY_NC_4_0	Ingmar van der Brugge	Ingmar van der Brugge			2024-03-26T22:53:25.637Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
