occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,environment,tectonic_setting,geology_comments,time_bins,time_contain,time_major,time_buffer,time_overlap,created,modified
138385,occ,,,11740,Rostriamynodon grangeri,species,116199,Middle Eocene,,47.8,37.71,Wall and Manning,1986,4180,Chordata,Mammalia,Perissodactyla,Amynodontidae,Rostriamynodon,111,40,CN,Nei Mongol,,estimated from map,degrees,,"2 miles east of Camp Margetts, Inner Mongolia, People's Republic of China",terrestrial indet.,,,Lutetian,-,Lutetian,Lutetian,"Lutetian, Bartonian",05/09/2001 05:23,05/09/2001 07:24
138749,occ,,,11798,Chilotherium,genus,43196,Tortonian,,11.63,7.246,Qi,1979,10883,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Chilotherium,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D.",fluvial-lacustrine indet.,,,Tortonian,Tortonian,Tortonian,Tortonian,Tortonian,10/09/2001 10:14,11/07/2004 04:39
138750,occ,,,11798,Aceratherium,genus,43188,Tortonian,,11.63,7.246,Qi,1979,10883,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Aceratherium,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D.",fluvial-lacustrine indet.,,,Tortonian,Tortonian,Tortonian,Tortonian,Tortonian,10/09/2001 10:14,11/07/2004 04:39
138827,occ,,,11799,Rhinoceros,genus,43222,Late Miocene,Early Pliocene,11.63,3.6,Maxson,1946,4198,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,32.866669,39.933334,TR,,,based on nearby landmark,minutes,local area,10 km southwest of Kucuk Yozgat village 40 km east of Ankara\r\nLat/Long given for Ankara,terrestrial indet.,,,Tortonian,-,Tortonian,"Tortonian, Messinian","Tortonian, Messinian, Zanclean",10/09/2001 12:27,10/09/2001 14:27
147931,occ,,,13060,Aceratherium,genus,43188,Late Miocene,,11.63,5.333,Sahni and Khare,1977,4341,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Aceratherium,76.666664,31.533333,IN,Himachal Pradesh,,,minutes,local area,"see map p. 190, 0.5 mi south of Ladhyani village",fluvial indet.,,,Tortonian,-,Tortonian,"Tortonian, Messinian","Tortonian, Messinian",18/01/2002 07:48,18/01/2002 09:48
150055,occ,,,13293,Rhinoceros sinensis,species,438869,Middle Pleistocene,Late Pleistocene,0.774,0.0117,Huang et al.,1988,4412,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,111.566666,22.766666,CN,Guangdong,Luoding,based on nearby landmark,minutes,small collection,"Xiashan Cave, Xiashan River Valley, at the western side of Dayunwu Mountain, 4 km from the Capital of Pingtang District (Southwest of Luoding). Lat long is for Luoding.\n",terrestrial indet.,,cave deposits,Chibanian,-,Chibanian,"Chibanian, Late Pleistocene","Chibanian, Late Pleistocene",15/02/2002 13:26,16/03/2011 18:53
150928,occ,,,13472,Rhinoceros,genus,43222,Middle Miocene,,15.98,11.63,Moonen et al.,1978,6080,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,72.366669,32.683334,PK,Punjab,,stated in text,minutes,local area,Chinji Formation Stratotype,fluvial indet.,,,Serravallian,-,Serravallian,"Langhian, Serravallian","Langhian, Serravallian",28/03/2002 10:22,25/03/2003 07:50
150929,occ,,,13472,Dicerorhinus sumatrensis,species,115833,Middle Miocene,,15.98,11.63,Moonen et al.,1978,6080,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,72.366669,32.683334,PK,Punjab,,stated in text,minutes,local area,Chinji Formation Stratotype,fluvial indet.,,,Serravallian,-,Serravallian,"Langhian, Serravallian","Langhian, Serravallian",28/03/2002 10:22,25/03/2003 07:50
150930,occ,,,13472,Dicerorhinus,genus,43199,Middle Miocene,,15.98,11.63,Moonen et al.,1978,6080,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,72.366669,32.683334,PK,Punjab,,stated in text,minutes,local area,Chinji Formation Stratotype,fluvial indet.,,,Serravallian,-,Serravallian,"Langhian, Serravallian","Langhian, Serravallian",28/03/2002 10:22,25/03/2003 07:50
150932,occ,,,13472,Caementodon (Caementodon) oettingenae,species,97732,Middle Miocene,,15.98,11.63,Moonen et al.,1978,6080,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Caementodon (Caementodon),72.366669,32.683334,PK,Punjab,,stated in text,minutes,local area,Chinji Formation Stratotype,fluvial indet.,,,Serravallian,-,Serravallian,"Langhian, Serravallian","Langhian, Serravallian",28/03/2002 10:32,25/03/2003 07:50
